"id","issue_id","github_id","number","title","body","state","tema_relacionado","labels","comments_count","created_at","updated_at","closed_at","user_login","assignee","milestone","html_url","tempo_resolucao_dias"
"14","2781522863","2781522863","144604","Fix broken YAML template after #144574","The YAML syntax is wrong and GitHub complains about it https://github.com/pytorch/pytorch/blob/main/.github/ISSUE_TEMPLATE/pt2-bug-report.yml","closed","Refatoração","{Merged,""topic: not user facing"",test-config/default}",3,"2025-01-11 02:05:16","2025-01-11 05:10:12","2025-01-11 05:09:10","huydhn",NULL,NULL,"https://github.com/pytorch/pytorch/pull/144604",0
"33","2678306271","2678306271","141215","Rewrite FloorDiv  Expands (x + y) // b into x // b + y // b in iterative way","````
        # Expands (x + y) // b into x // b + y // b.
        # This only works if floor is an identity, i.e. x / b is an integer.
        for term in sympy.Add.make_args(base):
            quotient = term / divisor
            if quotient.is_integer and isinstance(divisor, sympy.Integer):
                # NB: this is correct even if the divisor is not an integer, but it
                # creates rational expressions that cause problems with dynamic
                # shapes.
                return FloorDiv(base - term, divisor) + quotient
````

this part is causing max depth recursion error. 
We should rewrite it in iterative way for both performance and to fix the issue.
when this happen we have a long expression
3*s1 + 3*s2 + 3*s4 .......X times
we end up calling the constructor FloorDiv X times .

What we shall do instead is found all terms that satisfy      quotient = term / divisor and quotient.is_integer 
and do base - {all those terms } all at once. 

Furthermore, we can do some caching potentially here, 
the pattern here is 

3*s1/3 
..
(3*s1 + 3*s2 )/ 3
...
(3*s1 + 3*s2+ 3*s4 )/ 3
....

this address https://github.com/pytorch/pytorch/issues/138729


repo:
run the following on top of https://github.com/pytorch/pytorch/pull/140882
````

import time
from torch._inductor.utils import clear_inductor_caches, fresh_inductor_cache

import torch
import sys
print(sys.getrecursionlimit())


if __name__ == ""__main__"":
    def make_val(n=10):
        values = torch.arange(random.randint(1, 1000), dtype=torch.float)
        return values

    @torch.compile(fullgraph=True, dynamic=True)
    def consolidate(tensors):
        start = 0
        lengths = []
        swaps = []
        origs = []


        def view_and_pad(tensor: torch.Tensor, lengths=lengths) -> torch.Tensor:
            nonlocal start

            origs.append(tensor)
            swap = tensor.view(-1).view(torch.uint8)
            # result must always have a multiple of 8 elements
            pad = swap.numel() % 8
            swap = torch.cat([swap, swap.new_zeros(8 - pad)])

            n = swap.numel()
            start = start + n
            lengths.append(n)
            swaps.append(swap)


        for val in list(tensors):
            view_and_pad(val)

        filesize = start
        storage = torch.empty(
            filesize,
            dtype=torch.uint8,
        )
        torch.cat(swaps, out=storage)
        swaps = storage.split(lengths)


        def view_old_as_new(
            v: torch.Tensor, oldv: torch.Tensor
        ) -> torch.Tensor:
            if oldv is None:
                return v
            v = v.view(oldv.dtype)
            if v.numel() > oldv.numel():
                return v[: oldv.numel()].view(oldv.shape)
            return v.view(oldv.shape)

        result = [
            view_old_as_new(v, oldv)
            for (v, oldv) in zip(swaps, origs, strict=True)
        ]
        return result

    with fresh_inductor_cache():
        for n in [265,]:
            torch.compiler.reset()
            tensors = [make_val() for _ in range(n)]
            t0 = time.time()
            results = consolidate(tensors)
            print(n, time.time()-t0)

        assert len(set(t.untyped_storage().data_ptr() for t in results)) == 1

````
cc @chauhang @penguinwu @ezyang @bobrenjc93","closed","Refatoração","{triaged,""oncall: pt2"",""module: dynamic shapes""}",0,"2024-11-21 07:04:32","2024-12-06 22:31:52","2024-12-06 22:31:52","laithsakka","laithsakka",NULL,"https://github.com/pytorch/pytorch/issues/141215",15
"43","2645725735","2645725735","140209","[doc] fix grammar in ""Extending Torch""",NULL,"closed","Refatoração","{triaged,""open source"",Merged,ciflow/trunk,""topic: not user facing""}",3,"2024-11-09 06:53:07","2024-12-14 02:11:57","2024-11-13 05:34:45","ssnl",NULL,NULL,"https://github.com/pytorch/pytorch/pull/140209",4
"70","2743339496","2743339496","143316","Enable swap on all Linux jobs","A swapfile on Linux runner has been prepared by https://github.com/pytorch/test-infra/pull/6058.  So this PR does 2 things:

* Start using the swapfile on all Linux build and test jobs
* Testing the rollout https://github.com/pytorch-labs/pytorch-gha-infra/pull/582

### Testing

Run `swapon` inside the container and the swapfile shows up correctly:

```
jenkins@259dfb0a314c:~/workspace$ swapon
NAME      TYPE SIZE USED PRIO
/swapfile file   3G 256K   -2
```","closed","Refatoração","{Merged,""topic: not user facing"",test-config/default,no-runner-experiments}",3,"2024-12-16 20:30:39","2024-12-17 02:13:28","2024-12-17 02:12:26","huydhn",NULL,NULL,"https://github.com/pytorch/pytorch/pull/143316",1
"81","2788147618","2788147618","144792","massive number of runtime asserts can hamper compile times","internal xref: https://fb.workplace.com/groups/1075192433118967/permalink/1585006445470894/

We're spending ~2 hours in one job cranking out a few thousand runtime asserts. The relevant bit is this section of the logs:
```
#  .... 4000 lines of runtime asserts
[trainers0]:[rank0]:I0114 06:02:10.688613 5302 torch/fx/experimental/symbolic_shapes.py:6328] [6/0] runtime_assert u0 + u1 + u10 + u100 + u1000 +
[trainers0]:[rank0]:I0114 06:02:25.990159 5302 torch/fx/experimental/symbolic_shapes.py:6328] [6/0] runtime_assert u0 + u1 + u10 + u100 + u1000 +
[trainers0]:[rank0]:I0114 06:02:41.910004 5302 torch/fx/experimental/symbolic_shapes.py:6328] [6/0] runtime_assert u0 + u1 + u10 + u100 + u1000 +
[trainers0]:[rank0]:I0114 06:02:57.359968 5302 torch/fx/experimental/symbolic_shapes.py:6328] [6/0] runtime_assert u0 + u1 + u10 + u100 + u1000 +
[trainers0]:[rank0]:I0114 06:03:12.918750 5302 torch/fx/experimental/symbolic_shapes.py:6328] [6/0] runtime_assert u0 + u1 + u10 + u100 + u1000 +
[trainers0]:[rank0]:I0114 06:03:28.610256 5302 torch/fx/experimental/symbolic_shapes.py:6328] [6/0] runtime_assert u0 + u1 + u10 + u100 + u1000 +
```

full paste here: P1712262166

you can see ~15 seconds between each log, indicating that once we have a few thousand runtime asserts, there is probably some quadratic behavior going on that slows compile times.

The runtime asserts themselves are also quite big and contain many symbols. The last one:
```
runtime_assert u0 + u1 + u10 + u100 + u1000 + u1001 + u1002 + u1003 + u1004 + u1005 + u1006 + u1007 + u1008 + u1009 + u101 + u1010 + u1011 + u1012 + u1013 + u1014 + u1015 + u1016 + u1017 + u1018 + u1019 + u102 + u1020 + u1021 + u1022 + u1023 + u1024 + u1025 + u1026 + u1027 + u1028 + u1029 + u103 + u1030 + u1031 + u1032 + u1033 + u1034 + u1035 + u1036 + u1037 + u1038 + u1039 + u104 + u1040 + u1041 + u1042 + u1043 + u1044 + u1045 + u1046 + u1047 + u1048 + u1049 + u105 + u1050 + u1051 + u1052 + u1053 + u1054 + u1055 + u1056 + u1057 + u1058 + u1059 + u106 + u1060 + u1061 + u1062 + u1063 + u1064 + u1065 + u1066 + u1067 + u1068 + u1069 + u107 + u1070 + u1071 + u1072 + u1073 + u1074 + u1075 + u1076 + u1077 + u1078 + u1079 + u108 + u1080 + u1081 + u1082 + u1083 + u1084 + u1085 + u1086 + u1087 + u1088 + u1089 + u109 + u1090 + u1091 + u1092 + u1093 + u1094 + u1095 + u1096 + u1097 + u1098 + u1099 + u11 + u110 + u1100 + u1101 + u1102 + u1103 + u1104 + u1105 + u1106 + u1107 + u1108 + u1109 + u111 + u1110 + u1111 + u1112 + u1113 + u1114 + u1115 + u1116 + u1117 + u1118 + u1119 + u112 + u1120 + u1121 + u1122 + u1123 + u1124 + u1125 + u1126 + u1127 + u1128 + u1129 + u113 + u1130 + u1131 + u1132 + u1133 + u1134 + u1135 + u1136 + u1137 + u1138 + u1139 + u114 + u1140 + u1141 + u1142 + u1143 + u1144 + u1145 + u1146 + u1147 + u1148 + u1149 + u115 + u1150 + u1151 + u1152 + u1153 + u1154 + u1155 + u1156 + u1157 + u1158 + u1159 + u116 + u1160 + u1161 + u1162 + u1163 + u1164 + u1165 + u117 + u118 + u119 + u12 + u120 + u121 + u122 + u123 + u124 + u125 + u126 + u127 + u128 + u129 + u13 + u130 + u131 + u132 + u133 + u134 + u135 + u136 + u137 + u138 + u139 + u14 + u140 + u141 + u142 + u143 + u144 + u145 + u146 + u147 + u148 + u149 + u15 + u150 + u151 + u152 + u153 + u154 + u155 + u156 + u157 + u158 + u159 + u16 + u160 + u161 + u162 + u163 + u164 + u165 + u166 + u167 + u168 + u169 + u17 + u170 + u171 + u172 + u173 + u174 + u175 + u176 + u177 + u178 + u179 + u18 + u180 + u181 + u182 + u183 + u184 + u185 + u186 + u187 + u188 + u189 + u19 + u190 + u191 + u192 + u193 + u194 + u195 + u196 + u197 + u198 + u199 + u2 + u20 + u200 + u201 + u202 + u203 + u204 + u205 + u206 + u207 + u208 + u209 + u21 + u210 + u211 + u212 + u213 + u214 + u215 + u216 + u217 + u218 + u219 + u22 + u220 + u221 + u222 + u223 + u224 + u225 + u226 + u227 + u228 + u229 + u23 + u230 + u231 + u232 + u233 + u234 + u235 + u236 + u237 + u238 + u239 + u24 + u240 + u241 + u242 + u243 + u244 + u245 + u246 + u247 + u248 + u249 + u25 + u250 + u251 + u252 + u253 + u254 + u255 + u256 + u257 + u258 + u259 + u26 + u260 + u261 + u262 + u263 + u264 + u265 + u266 + u267 + u268 + u269 + u27 + u270 + u271 + u272 + u273 + u274 + u275 + u276 + u277 + u278 + u279 + u28 + u280 + u281 + u282 + u283 + u284 + u285 + u286 + u287 + u288 + u289 + u29 + u290 + u291 + u292 + u293 + u294 + u295 + u296 + u297 + u298 + u299 + u3 + u30 + u300 + u301 + u302 + u303 + u304 + u305 + u306 + u307 + u308 + u309 + u31 + u310 + u311 + u312 + u313 + u314 + u315 + u316 + u317 + u318 + u319 + u32 + u320 + u321 + u322 + u323 + u324 + u325 + u326 + u327 + u328 + u329 + u33 + u330 + u331 + u332 + u333 + u334 + u335 + u336 + u337 + u338 + u339 + u34 + u340 + u341 + u342 + u343 + u344 + u345 + u346 + u347 + u348 + u349 + u35 + u350 + u351 + u352 + u353 + u354 + u355 + u356 + u357 + u358 + u359 + u36 + u360 + u361 + u362 + u363 + u364 + u365 + u366 + u367 + u368 + u369 + u37 + u370 + u371 + u372 + u373 + u374 + u375 + u376 + u377 + u378 + u379 + u38 + u380 + u381 + u382 + u383 + u384 + u385 + u386 + u387 + u388 + u389 + u39 + u390 + u391 + u392 + u393 + u394 + u395 + u396 + u397 + u398 + u399 + u4 + u40 + u400 + u401 + u402 + u403 + u404 + u405 + u406 + u407 + u408 + u409 + u41 + u410 + u411 + u412 + u413 + u414 + u415 + u416 + u417 + u418 + u419 + u42 + u420 + u421 + u422 + u423 + u424 + u425 + u426 + u427 + u428 + u429 + u43 + u430 + u431 + u432 + u433 + u434 + u435 + u436 + u437 + u438 + u439 + u44 + u440 + u441 + u442 + u443 + u444 + u445 + u446 + u447 + u448 + u449 + u45 + u450 + u451 + u452 + u453 + u454 + u455 + u456 + u457 + u458 + u459 + u46 + u460 + u461 + u462 + u463 + u464 + u465 + u466 + u467 + u468 + u469 + u47 + u470 + u471 + u472 + u473 + u474 + u475 + u476 + u477 + u478 + u479 + u48 + u480 + u481 + u482 + u483 + u484 + u485 + u486 + u487 + u488 + u489 + u49 + u490 + u491 + u492 + u493 + u494 + u495 + u496 + u497 + u498 + u499 + u5 + u50 + u500 + u501 + u502 + u503 + u504 + u505 + u506 + u507 + u508 + u509 + u51 + u510 + u511 + u512 + u513 + u514 + u515 + u516 + u517 + u518 + u519 + u52 + u520 + u521 + u522 + u523 + u524 + u525 + u526 + u527 + u528 + u529 + u53 + u530 + u531 + u532 + u533 + u534 + u535 + u536 + u537 + u538 + u539 + u54 + u540 + u541 + u542 + u543 + u544 + u545 + u546 + u547 + u548 + u549 + u55 + u550 + u551 + u552 + u553 + u554 + u555 + u556 + u557 + u558 + u559 + u56 + u560 + u561 + u562 + u563 + u564 + u565 + u566 + u567 + u568 + u569 + u57 + u570 + u571 + u572 + u573 + u574 + u575 + u576 + u577 + u578 + u579 + u58 + u580 + u581 + u582 + u583 + u584 + u585 + u586 + u587 + u588 + u589 + u59 + u590 + u591 + u592 + u593 + u594 + u595 + u596 + u597 + u598 + u599 + u6 + u60 + u600 + u601 + u602 + u603 + u604 + u605 + u606 + u607 + u608 + u609 + u61 + u610 + u611 + u612 + u613 + u614 + u615 + u616 + u617 + u618 + u619 + u62 + u620 + u621 + u622 + u623 + u624 + u625 + u626 + u627 + u628 + u629 + u63 + u630 + u631 + u632 + u633 + u634 + u635 + u636 + u637 + u638 + u639 + u64 + u640 + u641 + u642 + u643 + u644 + u645 + u646 + u647 + u648 + u649 + u65 + u650 + u651 + u652 + u653 + u654 + u655 + u656 + u657 + u658 + u659 + u66 + u660 + u661 + u662 + u663 + u664 + u665 + u666 + u667 + u668 + u669 + u67 + u670 + u671 + u672 + u673 + u674 + u675 + u676 + u677 + u678 + u679 + u68 + u680 + u681 + u682 + u683 + u684 + u685 + u686 + u687 + u688 + u689 + u69 + u690 + u691 + u692 + u693 + u694 + u695 + u696 + u697 + u698 + u699 + u7 + u70 + u700 + u701 + u702 + u703 + u704 + u705 + u706 + u707 + u708 + u709 + u71 + u710 + u711 + u712 + u713 + u714 + u715 + u716 + u717 + u718 + u719 + u72 + u720 + u721 + u722 + u723 + u724 + u725 + u726 + u727 + u728 + u729 + u73 + u730 + u731 + u732 + u733 + u734 + u735 + u736 + u737 + u738 + u739 + u74 + u740 + u741 + u742 + u743 + u744 + u745 + u746 + u747 + u748 + u749 + u75 + u750 + u751 + u752 + u753 + u754 + u755 + u756 + u757 + u758 + u759 + u76 + u760 + u761 + u762 + u763 + u764 + u765 + u766 + u767 + u768 + u769 + u77 + u770 + u771 + u772 + u773 + u774 + u775 + u776 + u777 + u778 + u779 + u78 + u780 + u781 + u782 + u783 + u784 + u785 + u786 + u787 + u788 + u789 + u79 + u790 + u791 + u792 + u793 + u794 + u795 + u796 + u797 + u798 + u799 + u8 + u80 + u800 + u801 + u802 + u803 + u804 + u805 + u806 + u807 + u808 + u809 + u81 + u810 + u811 + u812 + u813 + u814 + u815 + u816 + u817 + u818 + u819 + u82 + u820 + u821 + u822 + u823 + u824 + u825 + u826 + u827 + u828 + u829 + u83 + u830 + u831 + u832 + u833 + u834 + u835 + u836 + u837 + u838 + u839 + u84 + u840 + u841 + u842 + u843 + u844 + u845 + u846 + u847 + u848 + u849 + u85 + u850 + u851 + u852 + u853 + u854 + u855 + u856 + u857 + u858 + u859 + u86 + u860 + u861 + u862 + u863 + u864 + u865 + u866 + u867 + u868 + u869 + u87 + u870 + u871 + u872 + u873 + u874 + u875 + u876 + u877 + u878 + u879 + u88 + u880 + u881 + u882 + u883 + u884 + u885 + u886 + u887 + u888 + u889 + u89 + u890 + u891 + u892 + u893 + u894 + u895 + u896 + u897 + u898 + u899 + u9 + u90 + u900 + u901 + u902 + u903 + u904 + u905 + u906 + u907 + u908 + u909 + u91 + u910 + u911 + u912 + u913 + u914 + u915 + u916 + u917 + u918 + u919 + u92 + u920 + u921 + u922 + u923 + u924 + u925 + u926 + u927 + u928 + u929 + u93 + u930 + u931 + u932 + u933 + u934 + u935 + u936 + u937 + u938 + u939 + u94 + u940 + u941 + u942 + u943 + u944 + u945 + u946 + u947 + u948 + u949 + u95 + u950 + u951 + u952 + u953 + u954 + u955 + u956 + u957 + u958 + u959 + u96 + u960 + u961 + u962 + u963 + u964 + u965 + u966 + u967 + u968 + u969 + u97 + u970 + u971 + u972 + u973 + u974 + u975 + u976 + u977 + u978 + u979 + u98 + u980 + u981 + u982 + u983 + u984 + u985 + u986 + u987 + u988 + u989 + u99 + u990 + u991 + u992 + u993 + u994 + u995 + u996 + u997 + u998 + u999 <= 487233 - u1166 [guard added] prob_user_split = torch.split(class_prob, num_objs_per_user.tolist())  # <torch_package_0>.dper3_models/ads_ranking/model_impl/sparse_nn/hiearchical_pre_norm_pma.py:149 in get_topk (_ops.py:801 in decompose), for more info run with TORCHDYNAMO_EXTENDED_DEBUG_GUARD_ADDED=""u0 + u1 + u10 + u100 + u1000 + u1001 + u1002 + u1003 + u1004 + u1005 + u1006 + u1007 + u1008 + u1009 + u101 + u1010 + u1011 + u1012 + u1013 + u1014 + u1015 + u1016 + u1017 + u1018 + u1019 + u102 + u1020 + u1021 + u1022 + u1023 + u1024 + u1025 + u1026 + u1027 + u1028 + u1029 + u103 + u1030 + u1031 + u1032 + u1033 + u1034 + u1035 + u1036 + u1037 + u1038 + u1039 + u104 + u1040 + u1041 + u1042 + u1043 + u1044 + u1045 + u1046 + u1047 + u1048 + u1049 + u105 + u1050 + u1051 + u1052 + u1053 + u1054 + u1055 + u1056 + u1057 + u1058 + u1059 + u106 + u1060 + u1061 + u1062 + u1063 + u1064 + u1065 + u1066 + u1067 + u1068 + u1069 + u107 + u1070 + u1071 + u1072 + u1073 + u1074 + u1075 + u1076 + u1077 + u1078 + u1079 + u108 + u1080 + u1081 + u1082 + u1083 + u1084 + u1085 + u1086 + u1087 + u1088 + u1089 + u109 + u1090 + u1091 + u1092 + u1093 + u1094 + u1095 + u1096 + u1097 + u1098 + u1099 + u11 + u110 + u1100 + u1101 + u1102 + u1103 + u1104 + u1105 + u1106 + u1107 + u1108 + u1109 + u111 + u1110 + u1111 + u1112 + u1113 + u1114 + u1115 + u1116 + u1117 + u1118 + u1119 + u112 + u1120 + u1121 + u1122 + u1123 + u1124 + u1125 + u1126 + u1127 + u1128 + u1129 + u113 + u1130 + u1131 + u1132 + u1133 + u1134 + u1135 + u1136 + u1137 + u1138 + u1139 + u114 + u1140 + u1141 + u1142 + u1143 + u1144 + u1145 + u1146 + u1147 + u1148 + u1149 + u115 + u1150 + u1151 + u1152 + u1153 + u1154 + u1155 + u1156 + u1157 + u1158 + u1159 + u116 + u1160 + u1161 + u1162 + u1163 + u1164 + u1165 + u117 + u118 + u119 + u12 + u120 + u121 + u122 + u123 + u124 + u125 + u126 + u127 + u128 + u129 + u13 + u130 + u131 + u132 + u133 + u134 + u135 + u136 + u137 + u138 + u139 + u14 + u140 + u141 + u142 + u143 + u144 + u145 + u146 + u147 + u148 + u149 + u15 + u150 + u151 + u152 + u153 + u154 + u155 + u156 + u157 + u158 + u159 + u16 + u160 + u161 + u162 + u163 + u164 + u165 + u166 + u167 + u168 + u169 + u17 + u170 + u171 + u172 + u173 + u174 + u175 + u176 + u177 + u178 + u179 + u18 + u180 + u181 + u182 + u183 + u184 + u185 + u186 + u187 + u188 + u189 + u19 + u190 + u191 + u192 + u193 + u194 + u195 + u196 + u197 + u198 + u199 + u2 + u20 + u200 + u201 + u202 + u203 + u204 + u205 + u206 + u207 + u208 + u209 + u21 + u210 + u211 + u212 + u213 + u214 + u215 + u216 + u217 + u218 + u219 + u22 + u220 + u221 + u222 + u223 + u224 + u225 + u226 + u227 + u228 + u229 + u23 + u230 + u231 + u232 + u233 + u234 + u235 + u236 + u237 + u238 + u239 + u24 + u240 + u241 + u242 + u243 + u244 + u245 + u246 + u247 + u248 + u249 + u25 + u250 + u251 + u252 + u253 + u254 + u255 + u256 + u257 + u258 + u259 + u26 + u260 + u261 + u262 + u263 + u264 + u265 + u266 + u267 + u268 + u269 + u27 + u270 + u271 + u272 + u273 + u274 + u275 + u276 + u277 + u278 + u279 + u28 + u280 + u281 + u282 + u283 + u284 + u285 + u286 + u287 + u288 + u289 + u29 + u290 + u291 + u292 + u293 + u294 + u295 + u296 + u297 + u298 + u299 + u3 + u30 + u300 + u301 + u302 + u303 + u304 + u305 + u306 + u307 + u308 + u309 + u31 + u310 + u311 + u312 + u313 + u314 + u315 + u316 + u317 + u318 + u319 + u32 + u320 + u321 + u322 + u323 + u324 + u325 + u326 + u327 + u328 + u329 + u33 + u330 + u331 + u332 + u333 + u334 + u335 + u336 + u337 + u338 + u339 + u34 + u340 + u341 + u342 + u343 + u344 + u345 + u346 + u347 + u348 + u349 + u35 + u350 + u351 + u352 + u353 + u354 + u355 + u356 + u357 + u358 + u359 + u36 + u360 + u361 + u362 + u363 + u364 + u365 + u366 + u367 + u368 + u369 + u37 + u370 + u371 + u372 + u373 + u374 + u375 + u376 + u377 + u378 + u379 + u38 + u380 + u381 + u382 + u383 + u384 + u385 + u386 + u387 + u388 + u389 + u39 + u390 + u391 + u392 + u393 + u394 + u395 + u396 + u397 + u398 + u399 + u4 + u40 + u400 + u401 + u402 + u403 + u404 + u405 + u406 + u407 + u408 + u409 + u41 + u410 + u411 + u412 + u413 + u414 + u415 + u416 + u417 + u418 + u419 + u42 + u420 + u421 + u422 + u423 + u424 + u425 + u426 + u427 + u428 + u429 + u43 + u430 + u431 + u432 + u433 + u434 + u435 + u436 + u437 + u438 + u439 + u44 + u440 + u441 + u442 + u443 + u444 + u445 + u446 + u447 + u448 + u449 + u45 + u450 + u451 + u452 + u453 + u454 + u455 + u456 + u457 + u458 + u459 + u46 + u460 + u461 + u462 + u463 + u464 + u465 + u466 + u467 + u468 + u469 + u47 + u470 + u471 + u472 + u473 + u474 + u475 + u476 + u477 + u478 + u479 + u48 + u480 + u481 + u482 + u483 + u484 + u485 + u486 + u487 + u488 + u489 + u49 + u490 + u491 + u492 + u493 + u494 + u495 + u496 + u497 + u498 + u499 + u5 + u50 + u500 + u501 + u502 + u503 + u504 + u505 + u506 + u507 + u508 + u509 + u51 + u510 + u511 + u512 + u513 + u514 + u515 + u516 + u517 + u518 + u519 + u52 + u520 + u521 + u522 + u523 + u524 + u525 + u526 + u527 + u528 + u529 + u53 + u530 + u531 + u532 + u533 + u534 + u535 + u536 + u537 + u538 + u539 + u54 + u540 + u541 + u542 + u543 + u544 + u545 + u546 + u547 + u548 + u549 + u55 + u550 + u551 + u552 + u553 + u554 + u555 + u556 + u557 + u558 + u559 + u56 + u560 + u561 + u562 + u563 + u564 + u565 + u566 + u567 + u568 + u569 + u57 + u570 + u571 + u572 + u573 + u574 + u575 + u576 + u577 + u578 + u579 + u58 + u580 + u581 + u582 + u583 + u584 + u585 + u586 + u587 + u588 + u589 + u59 + u590 + u591 + u592 + u593 + u594 + u595 + u596 + u597 + u598 + u599 + u6 + u60 + u600 + u601 + u602 + u603 + u604 + u605 + u606 + u607 + u608 + u609 + u61 + u610 + u611 + u612 + u613 + u614 + u615 + u616 + u617 + u618 + u619 + u62 + u620 + u621 + u622 + u623 + u624 + u625 + u626 + u627 + u628 + u629 + u63 + u630 + u631 + u632 + u633 + u634 + u635 + u636 + u637 + u638 + u639 + u64 + u640 + u641 + u642 + u643 + u644 + u645 + u646 + u647 + u648 + u649 + u65 + u650 + u651 + u652 + u653 + u654 + u655 + u656 + u657 + u658 + u659 + u66 + u660 + u661 + u662 + u663 + u664 + u665 + u666 + u667 + u668 + u669 + u67 + u670 + u671 + u672 + u673 + u674 + u675 + u676 + u677 + u678 + u679 + u68 + u680 + u681 + u682 + u683 + u684 + u685 + u686 + u687 + u688 + u689 + u69 + u690 + u691 + u692 + u693 + u694 + u695 + u696 + u697 + u698 + u699 + u7 + u70 + u700 + u701 + u702 + u703 + u704 + u705 + u706 + u707 + u708 + u709 + u71 + u710 + u711 + u712 + u713 + u714 + u715 + u716 + u717 + u718 + u719 + u72 + u720 + u721 + u722 + u723 + u724 + u725 + u726 + u727 + u728 + u729 + u73 + u730 + u731 + u732 + u733 + u734 + u735 + u736 + u737 + u738 + u739 + u74 + u740 + u741 + u742 + u743 + u744 + u745 + u746 + u747 + u748 + u749 + u75 + u750 + u751 + u752 + u753 + u754 + u755 + u756 + u757 + u758 + u759 + u76 + u760 + u761 + u762 + u763 + u764 + u765 + u766 + u767 + u768 + u769 + u77 + u770 + u771 + u772 + u773 + u774 + u775 + u776 + u777 + u778 + u779 + u78 + u780 + u781 + u782 + u783 + u784 + u785 + u786 + u787 + u788 + u789 + u79 + u790 + u791 + u792 + u793 + u794 + u795 + u796 + u797 + u798 + u799 + u8 + u80 + u800 + u801 + u802 + u803 + u804 + u805 + u806 + u807 + u808 + u809 + u81 + u810 + u811 + u812 + u813 + u814 + u815 + u816 + u817 + u818 + u819 + u82 + u820 + u821 + u822 + u823 + u824 + u825 + u826 + u827 + u828 + u829 + u83 + u830 + u831 + u832 + u833 + u834 + u835 + u836 + u837 + u838 + u839 + u84 + u840 + u841 + u842 + u843 + u844 + u845 + u846 + u847 + u848 + u849 + u85 + u850 + u851 + u852 + u853 + u854 + u855 + u856 + u857 + u858 + u859 + u86 + u860 + u861 + u862 + u863 + u864 + u865 + u866 + u867 + u868 + u869 + u87 + u870 + u871 + u872 + u873 + u874 + u875 + u876 + u877 + u878 + u879 + u88 + u880 + u881 + u882 + u883 + u884 + u885 + u886 + u887 + u888 + u889 + u89 + u890 + u891 + u892 + u893 + u894 + u895 + u896 + u897 + u898 + u899 + u9 + u90 + u900 + u901 + u902 + u903 + u904 + u905 + u906 + u907 + u908 + u909 + u91 + u910 + u911 + u912 + u913 + u914 + u915 + u916 + u917 + u918 + u919 + u92 + u920 + u921 + u922 + u923 + u924 + u925 + u926 + u927 + u928 + u929 + u93 + u930 + u931 + u932 + u933 + u934 + u935 + u936 + u937 + u938 + u939 + u94 + u940 + u941 + u942 + u943 + u944 + u945 + u946 + u947 + u948 + u949 + u95 + u950 + u951 + u952 + u953 + u954 + u955 + u956 + u957 + u958 + u959 + u96 + u960 + u961 + u962 + u963 + u964 + u965 + u966 + u967 + u968 + u969 + u97 + u970 + u971 + u972 + u973 + u974 + u975 + u976 + u977 + u978 + u979 + u98 + u980 + u981 + u982 + u983 + u984 + u985 + u986 + u987 + u988 + u989 + u99 + u990 + u991 + u992 + u993 + u994 + u995 + u996 + u997 + u998 + u999 <= 487233 - u1166""
```

cc @ezyang @gchanan @zou3519 @kadeng @msaroufim @chauhang @penguinwu @bobrenjc93","closed","Refatoração","{""high priority"",""triage review"",""oncall: pt2"",""module: dynamic shapes""}",5,"2025-01-14 19:43:21","2025-01-18 19:03:12","2025-01-18 19:03:12","bdhirsh","laithsakka",NULL,"https://github.com/pytorch/pytorch/issues/144792",4
"93","2657074594","2657074594","140628","remove ptx test","test if removing PTX will reduce the binary size

cc @nWEIdia","closed","Refatoração","{""open source"",Stale,ciflow/binaries}",5,"2024-11-13 23:13:55","2025-01-19 21:19:06","2025-01-19 21:19:05","tinglvv",NULL,NULL,"https://github.com/pytorch/pytorch/pull/140628",67
"100","2619838615","2619838615","139133","[executorch hash update] update the pinned executorch hash","This PR is auto-generated nightly by [this action](https://github.com/pytorch/pytorch/blob/main/.github/workflows/nightly.yml).
Update the pinned executorch hash.","closed","Refatoração","{""open source"",Merged,ciflow/trunk,""topic: not user facing"",ciflow/inductor}",18,"2024-10-29 00:24:23","2024-12-02 02:13:22","2024-11-02 00:14:49","pytorchupdatebot",NULL,NULL,"https://github.com/pytorch/pytorch/pull/139133",4
"112","2618061508","2618061508","139058","[3/N] Don't skip ASAN on some tests","Fixes #ISSUE_NUMBER","closed","Refatoração","{""open source"",Merged,ciflow/trunk,""topic: not user facing""}",7,"2024-10-28 10:54:23","2024-10-29 02:32:16","2024-10-28 23:57:25","cyyever",NULL,NULL,"https://github.com/pytorch/pytorch/pull/139058",0
"123","2598622218","2598622218","138382","[4/N] Fix clang-tidy warnings in torch/csrc/api/","Follows #138328","closed","Refatoração","{""open source"",Merged,ciflow/trunk,""release notes: cpp""}",6,"2024-10-19 00:56:08","2024-10-23 02:29:00","2024-10-19 13:32:53","cyyever",NULL,NULL,"https://github.com/pytorch/pytorch/pull/138382",0
"132","2726001601","2726001601","142351","Corrected description of AMSGrad algorithm","Fixes #142323","closed","Refatoração","{triaged,""open source"",Merged,ciflow/trunk,""release notes: optim""}",5,"2024-12-09 05:08:35","2024-12-19 16:25:26","2024-12-19 16:24:23","Tony-Y",NULL,NULL,"https://github.com/pytorch/pytorch/pull/142351",10
